SMILES,Min_PE
CCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCC,-4453.21101
CCCS(=O)(=O)C(S(=O)(=O)CCC)S(=O)(=O)CCC,-3827.85621
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,-4453.20199
CCCCCCCCS(=O)(=O)NS(=O)(=O)CCCCCCCC,-4160.98547
CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,-3907.39832
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3788.74948
CC(=O)OCC(COC(C)=O)(COC(C)=O)COC(C)=O,-4231.09834
O=C(NCCCCCCNC(=O)OCCCCO)OCCCCO,-4543.65531
CCCCS(=O)(=O)C(S(=O)(=O)CCCC)S(=O)(=O)CCCC,-4277.97913
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2676.84155
O=C(O)CSSSSCC(=O)O,-2462.25231
NC1=NC2=C(N=CC(=O)N2)C(=O)N1,-2326.44101
CC1=NC2=C(N=CNC2=O)NC1=O,-2276.50763
CC1(C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O1)C,-2714.33514
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,-3242.24333
CC(=NNC(=O)C1=NC=CS1)C(=O)O,-2574.63691
O=C1NC2=C(NC1=O)C(=O)NC=N2,-2422.11294
O=C1C=NC2=C(N1)C(=O)NC(=O)N2,-2422.24143
OC1=C(C2=NCCN2)C=C2C=CC=CC2=C1,-2425.91545
N#CC(C#N)=NNC1=CC=CC=C1,-1928.44151
O=C(O)C1=CC=CC(N=NC2=CC=C(O)C=C2)=C1,-2988.89441
O=C(O)C1=C(N=NC2=CC=C(O)C=C2)C=CC=C1,-2988.61641
CCCCCCCCN(C)N=NC1=CC=C(C(=O)O)C=C1,-3451.63961
O=C(O)C1=C(N=NC2=CC=C(O)C=C2)C=CC(Cl)=C1,-3242.12053
CCC1=NC2=C(N=C1CC)NC(=O)N=C2,-2430.54788
CC(=NNC(=O)C1=CC=NC=C1)C(=O)O,-2670.778
CN1C(=O)NC2=C1NC(=O)NC2=O,-2449.54463
COC1=C(OC)C2=C(COC2=O)C(N)=C1,-2743.27645
O=C(C1=CC=CC=C1)C(F)(F)F,-2742.49955
CC1=NC2=C(C=CC(=C2C=C1)[N+](=O)[O-])O,-2591.62438
C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],-2096.15508
CCOC1=CC=C(NC(C)=O)C=C1,-2180.92334
CC1=C(C(=O)CCl)C=C(C(C)C)C(O)=C1,-2534.67452
CCOC1=NC(OCC)=NC(OCC)=N1,-2752.13072
CCCCCCCCCCNC(=O)C1=CN=CC=C1,-2985.11599
CNC(=O)OC1=C2C=CC=CC2=CC=C1,-2399.05424
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1O,-2421.93047
COC1=CC=C(C2=CC=CC=C21)[N+](=O)[O-],-2541.19496
C(CCCO[N+](=O)O)CCCO[N+](=O)O,-3213.20931
C1C2=CC=CC=C2C3=C1C=C(C=C3)[N+](=O)[O-],-2491.79175
COC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1O,-2571.48644
C(CCCCO[N+](=O)O)CCCO[N+](=O)O,-3363.02556
COC1=C(OC)C(Cl)=C(Cl)C(Cl)=C1Cl,-2720.96978
CC1=CN(CC2=CC=CC=C2)C(=O)NC1=O,-2599.62118
C=CCOC(=O)C1=C(C(=O)OCC=C)C=CC=C1,-3088.54529
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,-2507.93293
O=C1NC(=O)C2=C(N1)NC(=O)C(=O)N2,-2718.02876
C1=CC2=C(C=CC(=C2N=C1)C(=O)O)[N+](=O)[O-],-2859.52977
CCCCCCOC(=O)C1=C(C(=O)OCCCCCC)C=CC=C1,-4043.96689
CC1=C(C=CC(=C1)OP(=S)(OC)OC)[N+](=O)[O-],-3282.27248
CCCCC(CC)COC(=O)C1=C(C(=O)OCC(CC)CCCC)C=CC=C1,-4643.65791
COP(=O)(OC)OC(=CCl)C1=C(Cl)C=C(Cl)C(Cl)=C1,-3776.64547
CCOC(=O)N1CC(C)N(C(N)=O)CC1C,-2930.67724
C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=C(C=C3)[N+](=O)[O-],-4532.60319
O=C1C=CC2=C(O1)C(O)=C1OC=CC1=C2,-2611.641
O=C1OC(C2=CC=C(Br)C=C2)C(Br)C1=O,-2639.10695
O=C1NC(=S)SC1=CC1=CC(O)=C(O)C=C1,-2748.0177
